rank	score	word	letters	syllables	zipf	flags
1128	-0.4	premo	5	2	1.8	not-in-dict
1129	-0.4	prickett	8	2	1.8	not-in-dict
1130	-0.4	printz	6	1	1.8	not-in-dict
1131	-0.4	prizm	5	2	1.8	not-in-dict
1132	-0.4	prospekt	8	2	1.8	not-in-dict
1133	-0.4	prust	5	1	1.8	not-in-dict
1134	-0.4	pylos	5	2	1.8	not-in-dict
1135	-0.41	pallett	7	2	1.79	not-in-dict
1136	-0.41	pasek	5	2	1.79	not-in-dict
1137	-0.41	patino	6	3	1.79	not-in-dict
1138	-0.41	persis	6	2	1.79	not-in-dict
1139	-0.41	picoult	7	2	1.79	not-in-dict
1140	-0.41	protested	9	3	3.59	not-in-dict,inflected
1141	-0.42	papineau	8	3	1.78	not-in-dict
1142	-0.42	pask	4	1	1.78	not-in-dict
1143	-0.42	peniston	8	3	1.78	not-in-dict
1144	-0.42	pentothal	9	3	1.58	proper-noun
1145	-0.42	petrelli	8	3	1.78	not-in-dict
1146	-0.42	phileas	7	3	1.78	not-in-dict
1147	-0.42	phoned	6	1	3.28	not-in-dict,inflected
1148	-0.42	polen	5	2	1.78	not-in-dict
1149	-0.42	poteet	6	2	1.78	not-in-dict
1150	-0.42	primm	5	1	1.78	not-in-dict
1151	-0.42	probus	6	2	1.78	not-in-dict
1152	-0.42	purdon	6	2	1.78	not-in-dict
1153	-0.42	purex	5	2	1.78	not-in-dict
1154	-0.43	parallels	9	3	3.57	not-in-dict,inflected
1155	-0.43	pawlak	6	2	1.77	not-in-dict
1156	-0.43	pawling	7	2	1.77	not-in-dict
1157	-0.43	pechora	7	3	1.77	not-in-dict
1158	-0.43	poinsett	8	2	1.77	not-in-dict
1159	-0.43	poley	5	2	1.77	not-in-dict
1160	-0.43	postma	6	2	1.77	not-in-dict
1161	-0.43	proceso	7	3	1.77	not-in-dict
1162	-0.44	pagar	5	2	1.76	not-in-dict
1163	-0.44	pavlich	7	2	1.76	not-in-dict
1164	-0.44	perrigo	7	3	1.76	not-in-dict
1165	-0.44	persky	6	2	1.76	not-in-dict
1166	-0.44	peruzzi	7	3	1.76	not-in-dict
1167	-0.44	pesh	4	1	1.76	not-in-dict
1168	-0.44	petain	6	2	1.76	not-in-dict
1169	-0.44	pinero	6	3	1.76	not-in-dict
1170	-0.44	plessey	7	2	1.76	not-in-dict
1171	-0.44	plott	5	1	1.76	not-in-dict
1172	-0.44	polan	5	2	1.76	not-in-dict
1173	-0.44	polhemus	8	3	1.76	not-in-dict
1174	-0.44	pombo	5	2	1.76	not-in-dict
1175	-0.44	popu	4	2	1.76	not-in-dict
1176	-0.44	porro	5	2	1.76	not-in-dict
1177	-0.44	postel	6	2	1.76	not-in-dict
1178	-0.44	posten	6	2	1.76	not-in-dict
1179	-0.44	preiss	6	1	1.76	not-in-dict
1180	-0.44	pugwash	7	2	1.76	not-in-dict
1181	-0.45	palmira	7	3	1.75	not-in-dict
1182	-0.45	panam	5	2	1.75	not-in-dict
1183	-0.45	paquet	6	2	1.75	not-in-dict
1184	-0.45	patman	6	2	1.75	not-in-dict
1185	-0.45	pech	4	1	1.75	not-in-dict
1186	-0.45	peddie	6	2	1.75	not-in-dict
1187	-0.45	perdomo	7	3	1.75	not-in-dict
1188	-0.45	perreault	9	2	2.05	not-in-dict
1189	-0.45	picon	5	2	1.75	not-in-dict
1190	-0.45	pilla	5	2	1.75	not-in-dict
1191	-0.45	pinkus	6	2	1.75	not-in-dict
1192	-0.45	polansky	8	3	1.75	not-in-dict
1193	-0.45	pounded	7	2	3.25	not-in-dict,inflected
1194	-0.45	preciado	8	3	1.75	not-in-dict
1195	-0.45	precip	6	2	1.75	not-in-dict
1196	-0.45	publishes	9	3	3.55	not-in-dict,inflected
1197	-0.45	pundits	7	2	3.25	not-in-dict,inflected
1198	-0.46	pahl	4	1	1.74	not-in-dict
1199	-0.46	parshall	8	2	1.74	not-in-dict
1200	-0.46	patin	5	2	1.74	not-in-dict
1201	-0.46	perales	7	3	1.74	not-in-dict
1202	-0.46	perched	7	1	3.24	not-in-dict,inflected
1203	-0.46	pettersen	9	3	2.04	not-in-dict
1204	-0.46	pettitt	7	2	1.74	not-in-dict
1205	-0.46	pitre	5	2	1.74	not-in-dict
1206	-0.46	pizzi	5	2	1.74	not-in-dict
1207	-0.46	placemat	8	2	1.74	not-in-dict
1208	-0.46	placentia	9	3	2.04	not-in-dict
1209	-0.46	printemps	9	2	2.04	not-in-dict
1210	-0.47	pantoja	7	3	1.73	not-in-dict
1211	-0.47	parmer	6	2	1.73	not-in-dict
1212	-0.47	partnered	9	2	3.53	not-in-dict,inflected
1213	-0.47	paschall	8	2	1.73	not-in-dict
1214	-0.47	peluso	6	3	1.73	not-in-dict
1215	-0.47	phair	5	1	1.73	not-in-dict
1216	-0.47	pickier	7	3	1.73	not-in-dict
1217	-0.47	plaut	5	1	1.73	not-in-dict
1218	-0.47	polin	5	2	1.73	not-in-dict
1219	-0.47	polytech	8	3	1.73	not-in-dict
1220	-0.47	porras	6	2	1.73	not-in-dict
1221	-0.47	potala	6	3	1.73	not-in-dict
1222	-0.47	powerbook	9	3	2.03	not-in-dict
1223	-0.48	padres	6	2	3.22	not-in-dict,inflected
1224	-0.48	panchen	7	2	1.72	not-in-dict
1225	-0.48	parodi	6	3	1.72	not-in-dict
1226	-0.48	pendry	6	2	1.72	not-in-dict
1227	-0.48	penry	5	2	1.72	not-in-dict
1228	-0.48	perini	6	3	1.72	not-in-dict
1229	-0.48	pilloried	9	3	2.02	not-in-dict
1230	-0.48	postum	6	2	1.22	proper-noun
1231	-0.48	pours	5	1	3.22	not-in-dict,inflected
1232	-0.48	prunty	6	2	1.72	not-in-dict
1233	-0.48	puryear	7	2	1.72	not-in-dict
1234	-0.49	pauses	6	2	3.21	not-in-dict,inflected
1235	-0.49	pearle	6	1	1.71	not-in-dict
1236	-0.49	pecora	6	3	1.71	not-in-dict
1237	-0.49	pedraza	7	3	1.71	not-in-dict
1238	-0.49	phifer	6	2	1.71	not-in-dict
1239	-0.49	phillie	7	2	1.71	not-in-dict
1240	-0.49	pinzon	6	2	1.71	not-in-dict
1241	-0.49	plattner	8	2	1.71	not-in-dict
1242	-0.49	portwood	8	2	1.71	not-in-dict
1243	-0.49	powles	6	2	1.71	not-in-dict
1244	-0.49	presnell	8	2	1.71	not-in-dict
1245	-0.49	prestwich	9	2	2.01	not-in-dict
1246	-0.5	pakula	6	3	1.7	not-in-dict
1247	-0.5	paty	4	2	1.7	not-in-dict
1248	-0.5	pavone	6	2	1.7	not-in-dict
1249	-0.5	payers	6	2	3.2	not-in-dict,inflected
1250	-0.5	petz	4	1	1.7	not-in-dict
1251	-0.5	pollio	6	3	1.7	not-in-dict
1252	-0.5	polygram	8	3	1.7	not-in-dict
1253	-0.5	premarin	8	3	1.7	not-in-dict
1254	-0.5	pressured	9	2	3.5	not-in-dict,inflected
1255	-0.51	pake	4	1	1.69	not-in-dict
1256	-0.51	papin	5	2	1.69	not-in-dict
1257	-0.51	paramo	6	3	1.69	not-in-dict
1258	-0.51	pichler	7	2	1.69	not-in-dict
1259	-0.51	porges	6	2	1.69	not-in-dict
1260	-0.51	pross	5	1	1.69	not-in-dict
1261	-0.51	pumpkins	8	2	3.19	not-in-dict,inflected
1262	-0.52	parmelee	8	3	1.68	not-in-dict
1263	-0.52	pasion	6	2	1.68	not-in-dict
1264	-0.52	peraza	6	3	1.68	not-in-dict
1265	-0.52	piltdown	8	2	1.68	not-in-dict
1266	-0.52	plaques	7	1	3.18	not-in-dict,inflected
1267	-0.52	pless	5	1	1.68	not-in-dict
1268	-0.52	popoff	6	2	1.68	not-in-dict
1269	-0.52	posa	4	2	1.68	not-in-dict
1270	-0.53	parslow	7	2	1.67	not-in-dict
1271	-0.53	patsies	7	2	1.67	not-in-dict
1272	-0.53	peppard	7	2	1.67	not-in-dict
1273	-0.53	perrotta	8	3	1.67	not-in-dict
1274	-0.53	peyman	6	2	1.67	not-in-dict
1275	-0.53	philbert	8	2	1.67	not-in-dict
1276	-0.53	pigg	4	1	1.67	not-in-dict
1277	-0.53	polsky	6	2	1.67	not-in-dict
1278	-0.53	popple	6	2	1.67	not-in-dict
1279	-0.53	principals	10	3	3.47	not-in-dict,inflected
1280	-0.53	proudfoot	9	2	1.97	not-in-dict
1281	-0.53	puglisi	7	3	1.67	not-in-dict
1282	-0.54	pankow	6	2	1.66	not-in-dict
1283	-0.54	pashley	7	2	1.66	not-in-dict
1284	-0.54	patera	6	3	1.66	not-in-dict
1285	-0.54	penland	7	2	1.66	not-in-dict
1286	-0.54	pequeno	7	3	1.66	not-in-dict
1287	-0.54	pieties	7	3	1.66	not-in-dict
1288	-0.54	pleads	6	1	3.16	not-in-dict,inflected
1289	-0.54	poisons	7	2	3.16	not-in-dict,inflected
1290	-0.54	presiding	9	3	3.46	not-in-dict,inflected
1291	-0.54	pulte	5	2	1.66	not-in-dict
1292	-0.55	partlow	7	2	1.65	not-in-dict
1293	-0.55	patco	5	2	1.65	not-in-dict
1294	-0.55	pedalled	8	2	1.65	not-in-dict
1295	-0.55	petrella	8	3	1.65	not-in-dict
1296	-0.55	pharo	5	2	1.65	not-in-dict
1297	-0.55	pitfalls	8	2	3.15	not-in-dict,inflected
1298	-0.55	plaisted	8	2	1.65	not-in-dict
1299	-0.55	plumley	7	2	1.65	not-in-dict
1300	-0.55	pomerantz	9	3	1.95	not-in-dict
1301	-0.55	porritt	7	2	1.65	not-in-dict
1302	-0.55	powders	7	2	3.15	not-in-dict,inflected
1303	-0.55	primed	6	1	3.15	not-in-dict,inflected
1304	-0.55	pussycat	8	3	2.75	vulgar
1305	-0.56	paille	6	1	1.64	not-in-dict
1306	-0.56	parente	7	3	1.64	not-in-dict
1307	-0.56	partee	6	2	1.64	not-in-dict
1308	-0.56	pedley	6	2	1.64	not-in-dict
1309	-0.56	pelfrey	7	2	1.64	not-in-dict
1310	-0.56	perotti	7	3	1.64	not-in-dict
1311	-0.56	persico	7	3	1.64	not-in-dict
1312	-0.56	petrina	7	3	1.64	not-in-dict
1313	-0.56	petroff	7	2	1.64	not-in-dict
1314	-0.56	pickups	7	2	3.14	not-in-dict,inflected
1315	-0.56	pintar	6	2	1.64	not-in-dict
1316	-0.56	pittsford	9	2	1.94	not-in-dict
1317	-0.56	poggi	5	2	1.64	not-in-dict
1318	-0.56	ponied	6	2	1.64	not-in-dict
1319	-0.56	postings	8	2	3.14	not-in-dict,inflected
1320	-0.56	potts	5	1	3.14	not-in-dict,inflected
1321	-0.56	punctate	8	2	1.64	not-in-dict
1322	-0.57	paek	4	1	1.63	not-in-dict
1323	-0.57	pavlovich	9	3	1.93	not-in-dict
1324	-0.57	paxon	5	2	1.63	not-in-dict
1325	-0.57	pentane	7	2	1.63	not-in-dict
1326	-0.57	petitions	9	3	3.43	not-in-dict,inflected
1327	-0.57	pigments	8	2	3.13	not-in-dict,inflected
1328	-0.57	pileggi	7	3	1.63	not-in-dict
1329	-0.57	prete	5	1	1.63	not-in-dict
1330	-0.57	progresses	10	3	3.43	not-in-dict,inflected
1331	-0.58	parkey	6	2	1.62	not-in-dict
1332	-0.58	parmalat	8	3	1.62	not-in-dict
1333	-0.58	partin	6	2	1.62	not-in-dict
1334	-0.58	pauwels	7	2	1.62	not-in-dict
1335	-0.58	pekar	5	2	1.62	not-in-dict
1336	-0.58	petipa	6	3	1.62	not-in-dict
1337	-0.58	piccola	7	3	1.62	not-in-dict
1338	-0.58	pierrepont	10	2	1.92	not-in-dict
1339	-0.58	pierro	6	2	1.62	not-in-dict
1340	-0.58	pokorny	7	3	1.62	not-in-dict
1341	-0.58	pus	3	1	3.02	vulgar
1342	-0.58	puzo	4	2	1.62	not-in-dict
1343	-0.58	pyper	5	2	1.62	not-in-dict
1344	-0.59	panmunjom	9	3	1.91	not-in-dict
1345	-0.59	pardoned	8	2	3.11	not-in-dict,inflected
1346	-0.59	partida	7	3	1.61	not-in-dict
1347	-0.59	pavlovic	8	3	1.61	not-in-dict
1348	-0.59	pember	6	2	1.61	not-in-dict
1349	-0.59	perils	6	2	3.11	not-in-dict,inflected
1350	-0.59	perman	6	2	1.61	not-in-dict
1351	-0.59	perrott	7	2	1.61	not-in-dict
1352	-0.59	poel	4	2	1.61	not-in-dict
1353	-0.59	poth	4	1	1.61	not-in-dict
1354	-0.59	powley	6	2	1.61	not-in-dict
1355	-0.59	premodern	9	3	1.91	not-in-dict
1356	-0.59	prevailed	9	2	3.41	not-in-dict,inflected
1357	-0.59	puccio	6	3	1.61	not-in-dict
1358	-0.6	pearcy	6	2	1.6	not-in-dict
1359	-0.6	peete	5	1	1.6	not-in-dict
1360	-0.6	pestana	7	3	1.6	not-in-dict
1361	-0.6	pindaric	8	3	1.1	proper-noun
1362	-0.6	piscopo	7	3	1.6	not-in-dict
1363	-0.6	podolsky	8	3	1.6	not-in-dict
1364	-0.6	poer	4	2	1.6	not-in-dict
1365	-0.6	poma	4	2	1.6	not-in-dict
1366	-0.6	poovey	6	2	1.6	not-in-dict
1367	-0.6	portelli	8	3	1.6	not-in-dict
1368	-0.6	pressey	7	2	1.6	not-in-dict
1369	-0.6	prognoses	9	3	1.9	not-in-dict
1370	-0.61	pammy	5	2	1.59	not-in-dict
1371	-0.61	panny	5	2	1.59	not-in-dict
1372	-0.61	pardue	6	2	1.59	not-in-dict
1373	-0.61	passero	7	3	1.09	proper-noun
1374	-0.61	patey	5	2	1.59	not-in-dict
1375	-0.61	pedroza	7	3	1.59	not-in-dict
1376	-0.61	petzold	7	2	1.59	not-in-dict
1377	-0.61	planters	8	2	3.09	not-in-dict,inflected
1378	-0.61	prevails	8	2	3.09	not-in-dict,inflected
1379	-0.61	provenza	8	3	1.59	not-in-dict
1380	-0.62	palmeri	7	3	1.58	not-in-dict
1381	-0.62	pearman	7	2	1.58	not-in-dict
1382	-0.62	pepperell	9	3	1.88	not-in-dict
1383	-0.62	perito	6	3	1.58	not-in-dict
1384	-0.62	philibert	9	3	1.88	not-in-dict
1385	-0.62	pinedo	6	3	1.58	not-in-dict
1386	-0.62	popes	5	1	3.08	not-in-dict,inflected
1387	-0.62	positives	9	3	3.38	not-in-dict,inflected
1388	-0.62	prindle	7	2	1.58	not-in-dict
1389	-0.62	procured	8	2	3.08	not-in-dict,inflected
1390	-0.62	pruden	6	2	1.58	not-in-dict
1391	-0.62	puffs	5	1	3.08	not-in-dict,inflected
1392	-0.62	pursues	7	2	3.08	not-in-dict,inflected
1393	-0.63	palmgren	8	2	1.57	not-in-dict
1394	-0.63	pardoe	6	2	1.57	not-in-dict
1395	-0.63	pasley	6	2	1.57	not-in-dict
1396	-0.63	patteson	8	3	1.57	not-in-dict
1397	-0.63	payan	5	2	1.57	not-in-dict
1398	-0.63	pegged	6	1	3.07	not-in-dict,inflected
1399	-0.63	persians	8	2	3.07	not-in-dict,inflected
1400	-0.63	pfau	4	1	1.57	not-in-dict
1401	-0.63	photocall	9	3	1.87	not-in-dict
1402	-0.63	pinnick	7	2	1.57	not-in-dict
1403	-0.63	pohlman	7	2	1.57	not-in-dict
1404	-0.63	pohnpei	7	2	1.57	not-in-dict
1405	-0.63	poletti	7	3	1.57	not-in-dict
1406	-0.63	pozner	6	2	1.57	not-in-dict
1407	-0.63	praxair	7	2	1.57	not-in-dict
1408	-0.63	purses	6	2	3.07	not-in-dict,inflected
1409	-0.64	palen	5	2	1.56	not-in-dict
1410	-0.64	patchen	7	2	1.56	not-in-dict
1411	-0.64	peixoto	7	3	1.56	not-in-dict
1412	-0.64	penza	5	2	1.56	not-in-dict
1413	-0.64	peth	4	1	1.56	not-in-dict
1414	-0.64	pidcock	7	2	1.56	not-in-dict
1415	-0.64	pisoni	6	3	1.56	not-in-dict
1416	-0.64	pittard	7	2	1.56	not-in-dict
1417	-0.64	plass	5	1	1.56	not-in-dict
1418	-0.64	plunging	8	2	3.06	not-in-dict,inflected
1419	-0.64	prew	4	1	1.56	not-in-dict
1420	-0.64	promoters	9	3	3.36	not-in-dict,inflected
1421	-0.65	paulk	5	1	1.55	not-in-dict
1422	-0.65	pesta	5	2	1.55	not-in-dict
1423	-0.65	peterbilt	9	3	1.85	not-in-dict
1424	-0.65	pfleger	7	2	1.55	not-in-dict
1425	-0.65	pinnell	7	2	1.55	not-in-dict
1426	-0.65	plese	5	1	1.55	not-in-dict
1427	-0.65	propp	5	1	1.55	not-in-dict
1428	-0.65	protons	7	2	3.05	not-in-dict,inflected
1429	-0.65	pullum	6	2	1.55	not-in-dict
1430	-0.65	pute	4	1	1.55	not-in-dict
1431	-0.66	palco	5	2	1.54	not-in-dict
1432	-0.66	pastora	7	3	1.54	not-in-dict
1433	-0.66	peery	5	2	1.54	not-in-dict
1434	-0.66	pegues	6	2	1.54	not-in-dict
1435	-0.66	pelz	4	1	1.54	not-in-dict
1436	-0.66	penley	6	2	1.54	not-in-dict
1437	-0.66	perrow	6	2	1.54	not-in-dict
1438	-0.66	persisted	9	3	3.34	not-in-dict,inflected
1439	-0.66	phalen	6	2	1.54	not-in-dict
1440	-0.66	pilley	6	2	1.54	not-in-dict
1441	-0.66	pinard	6	2	1.54	not-in-dict
1442	-0.66	plumbers	8	2	3.04	not-in-dict,inflected
1443	-0.66	popplewell	10	3	1.84	not-in-dict
1444	-0.66	ported	6	2	3.04	not-in-dict,inflected
1445	-0.66	portela	7	3	1.54	not-in-dict
1446	-0.66	portier	7	3	1.54	not-in-dict
1447	-0.66	postle	6	2	1.54	not-in-dict
1448	-0.66	poten	5	2	1.54	not-in-dict
1449	-0.66	prange	6	1	1.54	not-in-dict
1450	-0.66	prattville	10	2	1.84	not-in-dict
1451	-0.66	prieur	6	2	1.54	not-in-dict
1452	-0.66	primeau	7	2	1.54	not-in-dict
1453	-0.66	pritt	5	1	1.54	not-in-dict
1454	-0.66	promos	6	2	3.04	not-in-dict,inflected
1455	-0.66	provine	7	3	1.54	not-in-dict
1456	-0.66	proxmire	8	2	1.54	not-in-dict
1457	-0.67	palafox	7	3	1.53	not-in-dict
1458	-0.67	pathogens	9	3	3.33	not-in-dict,inflected
1459	-0.67	pavese	6	3	1.53	not-in-dict
1460	-0.67	pertains	8	2	3.03	not-in-dict,inflected
1461	-0.67	petrone	7	3	1.53	not-in-dict
1462	-0.67	phillipson	10	3	1.83	not-in-dict
1463	-0.67	phung	5	1	1.53	not-in-dict
1464	-0.67	phut	4	1	1.53	not-in-dict
1465	-0.67	picco	5	2	1.53	not-in-dict
1466	-0.67	piloted	7	3	3.03	not-in-dict,inflected
1467	-0.67	pinching	8	2	3.03	not-in-dict,inflected
1468	-0.67	pistone	7	2	1.53	not-in-dict
1469	-0.67	plemons	7	2	1.53	not-in-dict
1470	-0.67	plett	5	1	1.53	not-in-dict
1471	-0.67	poff	4	1	1.53	not-in-dict
1472	-0.67	poorman	7	2	1.53	not-in-dict
1473	-0.67	prestia	7	2	1.53	not-in-dict
1474	-0.67	pricks	6	1	3.03	not-in-dict,inflected
1475	-0.67	procida	7	3	1.53	not-in-dict
1476	-0.67	profiled	8	2	3.03	not-in-dict,inflected
1477	-0.67	purtell	7	2	1.53	not-in-dict
1478	-0.67	pyron	5	2	1.53	not-in-dict
1479	-0.68	partch	6	1	1.52	not-in-dict
1480	-0.68	patry	5	2	1.52	not-in-dict
1481	-0.68	pavon	5	2	1.52	not-in-dict
1482	-0.68	perfumes	8	2	3.02	not-in-dict,inflected
1483	-0.68	peskin	6	2	1.52	not-in-dict
1484	-0.68	petti	5	2	1.52	not-in-dict
1485	-0.68	philbrick	9	2	1.82	not-in-dict
1486	-0.68	pickel	6	2	1.52	not-in-dict
1487	-0.68	pieri	5	2	1.52	not-in-dict
1488	-0.68	pifer	5	2	1.52	not-in-dict
1489	-0.68	precedes	8	2	3.02	not-in-dict,inflected
1490	-0.68	premiered	9	2	3.32	not-in-dict,inflected
1491	-0.68	princesses	10	3	3.32	not-in-dict,inflected
1492	-0.68	prohaska	8	3	1.52	not-in-dict
1493	-0.68	purdum	6	2	1.52	not-in-dict
1494	-0.69	pancoast	8	2	1.51	not-in-dict
1495	-0.69	parga	5	2	1.51	not-in-dict
1496	-0.69	passman	7	2	1.51	not-in-dict
1497	-0.69	petterson	9	3	1.81	not-in-dict
1498	-0.69	picone	6	2	1.51	not-in-dict
1499	-0.69	plaskett	8	2	1.51	not-in-dict
1500	-0.69	precourt	8	2	1.51	not-in-dict
1501	-0.69	presenters	10	3	3.31	not-in-dict,inflected
1502	-0.69	primakov	8	3	1.51	not-in-dict
1503	-0.69	propst	6	1	1.51	not-in-dict
1504	-0.69	pulford	7	2	1.51	not-in-dict
1505	-0.69	putdown	7	2	1.51	not-in-dict
1506	-0.7	papini	6	3	1.5	not-in-dict
1507	-0.7	parmenter	9	3	1.8	not-in-dict
1508	-0.7	perona	6	3	1.5	not-in-dict
1509	-0.7	pharaon	7	2	1.5	not-in-dict
1510	-0.7	pinsker	7	2	1.5	not-in-dict
1511	-0.7	pizer	5	2	1.5	not-in-dict
1512	-0.7	plaisance	9	2	1.8	not-in-dict
1513	-0.7	poliquin	8	3	1.5	not-in-dict
1514	-0.7	polje	5	2	1.5	not-in-dict
1515	-0.7	presta	6	2	1.5	not-in-dict
1516	-0.71	parchman	8	2	1.49	not-in-dict
1517	-0.71	pasko	5	2	1.49	not-in-dict
1518	-0.71	peering	7	2	2.99	not-in-dict,inflected
1519	-0.71	pianos	6	3	2.99	not-in-dict,inflected
1520	-0.71	pioneered	9	3	3.29	not-in-dict,inflected
1521	-0.71	podhoretz	9	3	1.79	not-in-dict
1522	-0.71	pollutants	10	3	3.29	not-in-dict,inflected
1523	-0.71	poppea	6	3	1.49	not-in-dict
1524	-0.71	porr	4	1	1.49	not-in-dict
1525	-0.71	puga	4	2	1.49	not-in-dict
1526	-0.71	purported	9	3	3.29	not-in-dict,inflected
1527	-0.72	padula	6	3	1.48	not-in-dict
1528	-0.72	peasley	7	2	1.48	not-in-dict
1529	-0.72	penick	6	2	1.48	not-in-dict
1530	-0.72	penises	7	3	2.98	not-in-dict,inflected
1531	-0.72	perella	7	3	1.48	not-in-dict
1532	-0.72	perillo	7	3	1.48	not-in-dict
1533	-0.72	pflueger	8	2	1.48	not-in-dict
1534	-0.72	phasing	7	2	2.98	not-in-dict,inflected
1535	-0.72	pledging	8	2	2.98	not-in-dict,inflected
1536	-0.72	pompa	5	2	1.48	not-in-dict
1537	-0.72	pooled	6	1	2.98	not-in-dict,inflected
1538	-0.72	postcards	9	2	3.28	not-in-dict,inflected
1539	-0.72	preppie	7	2	1.48	not-in-dict
1540	-0.72	prothro	7	2	1.48	not-in-dict
1541	-0.73	padden	6	2	1.47	not-in-dict
1542	-0.73	papillion	9	3	1.77	not-in-dict
1543	-0.73	pattillo	8	3	1.47	not-in-dict
1544	-0.73	pellow	6	2	1.47	not-in-dict
1545	-0.73	perfetti	8	3	1.47	not-in-dict
1546	-0.73	pettway	7	2	1.47	not-in-dict
1547	-0.73	phillipp	8	2	1.47	not-in-dict
1548	-0.73	plums	5	1	2.97	not-in-dict,inflected
1549	-0.73	pooling	7	2	2.97	not-in-dict,inflected
1550	-0.73	pothier	7	3	1.47	not-in-dict
1551	-0.73	prell	5	1	1.47	not-in-dict
1552	-0.73	presson	7	2	1.47	not-in-dict
1553	-0.73	purkey	6	2	1.47	not-in-dict
1554	-0.74	pandolfo	8	3	1.46	not-in-dict
1555	-0.74	pankey	6	2	1.46	not-in-dict
1556	-0.74	pary	4	2	1.46	not-in-dict
1557	-0.74	pataky	6	3	1.46	not-in-dict
1558	-0.74	peapod	6	2	1.46	not-in-dict
1559	-0.74	perfetto	8	3	1.46	not-in-dict
1560	-0.74	perko	5	2	1.46	not-in-dict
1561	-0.74	pfeiffer	8	2	2.96	not-in-dict,inflected
1562	-0.74	philipson	9	3	1.76	not-in-dict
1563	-0.74	phua	4	2	1.46	not-in-dict
1564	-0.74	piped	5	1	2.96	not-in-dict,inflected
1565	-0.74	pretzels	8	2	2.96	not-in-dict,inflected
1566	-0.74	pullan	6	2	1.46	not-in-dict
1567	-0.75	parities	8	3	1.45	not-in-dict
1568	-0.75	pasquini	8	3	1.45	not-in-dict
1569	-0.75	pedowitz	8	3	1.45	not-in-dict
1570	-0.75	petko	5	2	1.45	not-in-dict
1571	-0.75	pfeil	5	1	1.45	not-in-dict
1572	-0.75	pitz	4	1	1.45	not-in-dict
1573	-0.75	platner	7	2	1.45	not-in-dict
1574	-0.75	podell	6	2	1.45	not-in-dict
1575	-0.75	popiel	6	2	1.45	not-in-dict
1576	-0.75	portner	7	2	1.45	not-in-dict
1577	-0.75	powter	6	2	1.45	not-in-dict
1578	-0.75	premieres	9	2	3.25	not-in-dict,inflected
1579	-0.75	priebe	6	1	1.45	not-in-dict
1580	-0.75	punit	5	2	1.45	not-in-dict
1581	-0.76	palmore	7	2	1.44	not-in-dict
1582	-0.76	pelka	5	2	1.44	not-in-dict
1583	-0.76	pentz	5	1	1.44	not-in-dict
1584	-0.76	perra	5	2	1.44	not-in-dict
1585	-0.76	petrich	7	2	1.44	not-in-dict
1586	-0.76	petrides	8	2	1.44	not-in-dict
1587	-0.76	pezzullo	8	3	1.44	not-in-dict
1588	-0.76	pilat	5	2	1.44	not-in-dict
1589	-0.76	pillard	7	2	1.44	not-in-dict
1590	-0.76	poncet	6	2	1.44	not-in-dict
1591	-0.76	proscar	7	2	1.44	not-in-dict
1592	-0.77	pantano	7	3	1.43	not-in-dict
1593	-0.77	pelaez	6	3	1.43	not-in-dict
1594	-0.77	pesch	5	1	1.43	not-in-dict
1595	-0.77	petermann	9	3	1.73	not-in-dict
1596	-0.77	pettie	6	2	1.43	not-in-dict
1597	-0.77	peverell	8	3	1.43	not-in-dict
1598	-0.77	pimples	7	2	2.93	not-in-dict,inflected
1599	-0.77	pindell	7	2	1.43	not-in-dict
1600	-0.77	pinelli	7	3	1.43	not-in-dict
1601	-0.77	pips	4	1	2.93	not-in-dict,inflected
1602	-0.77	plog	4	1	1.43	not-in-dict
1603	-0.77	polster	7	2	1.43	not-in-dict
1604	-0.77	porters	7	2	2.93	not-in-dict,inflected
1605	-0.77	potholes	8	2	2.93	not-in-dict,inflected
1606	-0.77	precht	6	1	1.43	not-in-dict
1607	-0.77	pursell	7	2	1.43	not-in-dict
1608	-0.78	pardons	7	2	2.92	not-in-dict,inflected
1609	-0.78	parlin	6	2	1.42	not-in-dict
1610	-0.78	pazos	5	2	1.42	not-in-dict
1611	-0.78	peirson	7	2	1.42	not-in-dict
1612	-0.78	piontek	7	3	1.42	not-in-dict
1613	-0.78	plumes	6	1	2.92	not-in-dict,inflected
1614	-0.78	plyler	6	2	1.42	not-in-dict
1615	-0.78	pokes	5	1	2.92	not-in-dict,inflected
1616	-0.78	porcaro	7	3	1.42	not-in-dict
1617	-0.78	preval	6	2	1.42	not-in-dict
1618	-0.78	prijedor	8	3	1.42	not-in-dict
1619	-0.79	palmero	7	3	1.41	not-in-dict
1620	-0.79	parenteau	9	3	1.71	not-in-dict
1621	-0.79	patting	7	2	2.91	not-in-dict,inflected
1622	-0.79	phibbs	6	1	1.41	not-in-dict
1623	-0.79	pirtle	6	2	1.41	not-in-dict
1624	-0.79	pommer	6	2	1.41	not-in-dict
1625	-0.79	potocki	7	3	1.41	not-in-dict
1626	-0.79	poyer	5	2	1.41	not-in-dict
1627	-0.79	presby	6	2	1.41	not-in-dict
1628	-0.79	prien	5	1	1.41	not-in-dict
1629	-0.79	priore	6	3	1.41	not-in-dict
1630	-0.79	prisco	6	2	1.41	not-in-dict
1631	-0.79	prosperi	8	3	1.41	not-in-dict
1632	-0.79	prunier	7	3	1.41	not-in-dict
1633	-0.79	psyched	7	1	2.91	not-in-dict,inflected
